Fragen;Option1;Option2;Option3;Korrekte_Option;Tipp
Verständigen Sie sich mit dem Kunden ______ eine für beide Seiten akzeptable Höhe des Preisnachlasses.;an;über;auf;3;
Erläutern Sie die Gründe, die ______ der Zurückweisung der Reklamation geführt haben.;zur;auf;nach;1;
Wenn Sie einen Brief ______ einen Kunden versenden, achten Sie auf klare und verständliche Formulierungen!;auf;an;für;2;
Greifen Sie dabei nie ______ Formulierungen zurück, die Sie bei einem Gespräch mit Kunden nicht verwenden würden.;an;nach;auf;3;
Erboste Kunden werden sich anfänglich in den seltensten Fällen ______ das eigentliche Problem konzentrieren.;auf;an;über;1;
Manche Kunden verlangen direkt ______ dem Vorgesetzten oder gleich ______ dem Geschäftsführer.;über;nach;zu;2;
Achten Sie ______, dass der Kunde nicht den Eindruck bekommt, dass Sie nicht über die hinreichenden Kompetenzen verfügen, uber die Reklamation zu entscheiden!;danach;daran;darauf;3;
Lassen Sie sich nicht _______ provozierenden Bemerkungen hinreißen, wenn ein Kunde seine Beschwerde in einem aggressiven Ton vorträgt!;zu;nach;auf;1;
Meist genügt es bereits, den Kunden _____ sein unangemessenes Verhalten hinzuweisen!;zu;auf;an;2;
Versuchen Sie, emotional aufgeladene Gespräche _____ den sachlichen Kern zu reduzieren!;an;zu;auf;3;
Am Telefon können Sie mit der Art Ihrer Formulierungen und Ihrem Tonfall ______ den Gesprächspartner in der gewünschten Weise einwirken.;auf;an;über;1;
Indem Sie den Kunden bitten, den bestehenden Defekt zu beschreiben, zwingen Sie ihn _______ Sachlichkeit!;auf der;zur;nach der ;2;
Wenn ein Kunde damit droht, sich ______ die Medien zu wenden, sollten Sie die Unternehmensleitung informieren.;auf;über;an;3;
Wir haben ... dem Essen schon angefangen.;mit;über;auf;1;
Ich werde mich ... meinem Chef beklagen, wenn meine Kollegin mich weiterhin so ärgert.;auf;bei;zu;2;
Warum hast du den Mann nicht ... dem Weg zu unserem Hotel gefragt?;zu;an;nach;3;
Er hat lange ... gehofft, dass sie ihm verziehen würde.;darauf;darüber;daran;1;
Diese Tätigkeiten haben doch nichts ... deinem Beruf zu tun!;zu;mit;auf;2;
Seit wir in unserem neuen Haus leben, leiden wir nicht mehr ... dem Lärm des internationalen Flughafens.;an;auf;unter;3;
Kannst du dich noch ... unseren Urlaub in Griechenland erinnern?;an;über;auf;1;
Ich kann dich ... einer Beziehung zu Carla nur warnen. Sie ist eine Schlange!;gegen;vor;gegenüber;2;
Du willst dich doch nicht schon wieder ... meinem Vater streiten, oder?;zu;bei;mit;3;
Ich habe sehr ... seine Note gestaunt!;über;an;auf;1;
Ich möchte mit dir ... unsere Hochzeit sprechen.;über;auf;an;1;
Ich möchte dir ... einem neuen Auto raten, denn dein altes ist nicht mehr verkehrstüchtig.;für;zu;auf;2;
Der Autor schreibt hauptsächlich über das Thema "Zwischenmenschliche Beziehungen".;;;;3;
